Datum;Eroeffnung;Hoch;Tief;Schluss;Performance;Volumen;Abstand Hoch/Tief
21.10.70;485.17;485.17;485.17;485.17;+1.93 %;0;0.00
22.10.70;478.07;478.07;478.07;478.07;-1.46 %;0;0.00
23.10.70;489.15;489.15;489.15;489.15;+2.32 %;0;0.00
26.10.70;491.42;491.42;491.42;491.42;+0.46 %;0;0.00
27.10.70;490.49;490.49;490.49;490.49;-0.19 %;0;0.00
28.10.70;481.31;481.31;481.31;481.31;-1.87 %;0;0.00
29.10.70;482.83;482.83;482.83;482.83;+0.32 %;0;0.00
30.10.70;477.18;477.18;477.18;477.18;-1.17 %;0;0.00
02.11.70;474.20;474.20;474.20;474.20;-0.62 %;0;0.00
03.11.70;476.17;476.17;476.17;476.17;+0.42 %;0;0.00
04.11.70;477.74;477.74;477.74;477.74;+0.33 %;0;0.00
05.11.70;476.40;476.40;476.40;476.40;-0.28 %;0;0.00
06.11.70;476.62;476.62;476.62;476.62;+0.05 %;0;0.00
09.11.70;472.42;472.42;472.42;472.42;-0.88 %;0;0.00
10.11.70;472.16;472.16;472.16;472.16;-0.06 %;0;0.00
11.11.70;476.17;476.17;476.17;476.17;+0.85 %;0;0.00
12.11.70;471.38;471.38;471.38;471.38;-1.01 %;0;0.00
13.11.70;463.86;463.86;463.86;463.86;-1.60 %;0;0.00
16.11.70;461.78;461.78;461.78;461.78;-0.45 %;0;0.00
17.11.70;463.90;463.90;463.90;463.90;+0.46 %;0;0.00
19.11.70;453.52;453.52;453.52;453.52;-2.24 %;0;0.00
20.11.70;448.69;448.69;448.69;448.69;-1.07 %;0;0.00
23.11.70;445.75;445.75;445.75;445.75;-0.66 %;0;0.00
24.11.70;446.98;446.98;446.98;446.98;+0.28 %;0;0.00
25.11.70;451.70;451.70;451.70;451.70;+1.06 %;0;0.00
26.11.70;458.14;458.14;458.14;458.14;+1.43 %;0;0.00
27.11.70;459.51;459.51;459.51;459.51;+0.30 %;0;0.00
30.11.70;458.21;458.21;458.21;458.21;-0.28 %;0;0.00
01.12.70;461.74;461.74;461.74;461.74;+0.77 %;0;0.00
02.12.70;459.70;459.70;459.70;459.70;-0.44 %;0;0.00
03.12.70;458.80;458.80;458.80;458.80;-0.20 %;0;0.00
04.12.70;455.31;455.31;455.31;455.31;-0.76 %;0;0.00
